Id,LotFrontage,LotArea,Street,LotConfig,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,65,8450,Pave,Inside,Norm,Norm,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,Gd,8,0,Attchd,2003,RFn,2,548,Y,0,61,0,0,0,0,NA,2,2008,WD,Normal,208500
2,80,9600,Pave,FR2,Feedr,Norm,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,CBlock,Gd,TA,Gd,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,1,TA,6,1,Attchd,1976,RFn,2,460,Y,298,0,0,0,0,0,NA,5,2007,WD,Normal,181500
3,68,11250,Pave,Inside,Norm,Norm,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,Gd,6,1,Attchd,2001,RFn,2,608,Y,0,42,0,0,0,0,NA,9,2008,WD,Normal,223500
4,60,9550,Pave,Corner,Norm,Norm,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,BrkTil,TA,Gd,No,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,1,Gd,7,1,Detchd,1998,Unf,3,642,Y,0,35,272,0,0,0,NA,2,2006,WD,Abnorml,140000
5,84,14260,Pave,FR2,Norm,Norm,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,Gd,9,1,Attchd,2000,RFn,3,836,Y,192,84,0,0,0,0,NA,12,2008,WD,Normal,250000
6,85,14115,Pave,Inside,Norm,Norm,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,Wood,Gd,TA,No,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,TA,5,0,Attchd,1993,Unf,2,480,Y,40,30,0,320,0,0,MnPrv,10,2009,WD,Normal,143000
7,75,10084,Pave,Inside,Norm,Norm,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,1,Gd,7,1,Attchd,2004,RFn,2,636,Y,255,57,0,0,0,0,NA,8,2007,WD,Normal,307000
8,NA,10382,Pave,Corner,PosN,Norm,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Mn,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,TA,7,2,Attchd,1973,RFn,2,484,Y,235,204,228,0,0,0,NA,11,2009,WD,Normal,200000
9,51,6120,Pave,Inside,Artery,Norm,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,BrkTil,TA,TA,No,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,2,TA,8,2,Detchd,1931,Unf,2,468,Y,90,0,205,0,0,0,NA,4,2008,WD,Abnorml,129900
10,50,7420,Pave,Corner,Artery,Artery,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,2,TA,5,2,Attchd,1939,RFn,1,205,Y,0,4,0,0,0,0,NA,1,2008,WD,Normal,118000
